author,rank,contributions
dave kehr,664,22
nicholas fandos,665,22
steven myers,666,22
andrew higgins,667,22
billy witz,668,21
stephen heyman,669,21
bernie becker,670,21
douglas quenqua,671,21
alexandra alter,672,21
eli rosenberg,673,21
bill cunningham,674,21
lori holcomb-holland,675,21
richard fausset,676,21
charles mcdermid,677,21
damon darlin,678,21
ben solomon,679,21
patrick boehler,680,21
chelsea zalopany,681,21
richard chang,682,21
fritzie andrade,683,21
anna north,684,21
jonathan wolfe,685,21
barry meier,686,21
matt higgins,687,20
katie zezima,688,20
eduardo porter,689,20
n. kleinfield,690,20
sean alfano,691,20
floyd whaley,692,20
joe cochrane,693,20
jordan cohen,694,20
lawrence downes,695,20
larry dorman,696,20
tim moran,697,20
pamela paul,698,20
jon hurdle,699,20
michael kimmelman,700,20
brent mcdonald,701,20
neha bagri,702,20
jane perlez,703,20
malina gilchrist,704,20
jeff oloizia,705,20
marilyn stasio,706,19
rick lyman,707,19
alison gregor,708,19
hwaida saad,709,19
julie lasky,710,19
mike vorkunov,711,19
tamara warren,712,19
niki kitsantonis,713,19
paul myerberg,714,19
bruce bartlett,715,19
danilo scarpati,716,19
christopher mele,717,19
emma cott,718,19
william broad,719,19
arlene hirst,720,19
noah remnick,721,19
matt waldman,722,19
masha gessen,723,19
rik fairlie,724,19
rachel saltz,725,19
glenn kenny,726,19
nida najar,727,19
anastasia economides,728,19
quyn do,729,19
david kocieniewski,730,19
kevin armstrong,731,19
nate cohn,732,19
linda greenhouse,733,19
scott james,734,18
linda yablonsky,735,18
nicola clark,736,18
allison busacca,737,18
lynnley browning,738,18
pilar viladas,739,18
tamara best,740,18
jay goltz,741,18
claudine hutton,742,18
jeff sommer,743,18
valerie gladstone,744,18
mujib mashal,745,18
eric grode,746,18
mark oppenheimer,747,18
dan mcgrath,748,18
kate phillips,749,18
dennis overbye,750,18
sharon lafraniere,751,18
catherine louis,752,18
tom spousta,753,18
javier hernández,754,18
chase stuart,755,18
jason rider,756,18
pam belluck,757,18
kevin sack,758,18
stanley fish,759,18
dexter filkins,760,17
mike tierney,761,17
christine muhlke,762,17
jim horne,763,17
andrew roth,764,17
jason marder,765,17
conor dougherty,766,17
adriana gardella,767,17
paul downs,768,17
david frank,769,17
jeffrey marcus,770,17
hilary howard,771,17
bob herbert,772,17
nicholas st,773,17
james poniewozik,774,17
alex tudela,775,17
ginger thompson,776,17
michael hoinski,777,16
jane herman,778,16
jacob bernstein,779,16
conrad de aenlle,780,16
phillip lutz,781,16
elaine sciolino,782,16
sarah leon,783,16
niraj chokshi,784,16
joe lapointe,785,16
pauline chen,786,16
uwe reinhardt,787,16
ismail khan,788,16
arthur brisbane,789,16
stephen lubben,790,16
alan schwarz,791,16
mona el-naggar,792,16
roger cohen,793,16
michael pollak,794,16
poh teng,795,16
eric owles,796,16
stuart miller,797,16
duff wilson,798,16
mike ives,799,16
carlotta gall,800,16
phyllis korkki,801,16
ingrid williams,802,16
sam grobart,803,16
julie creswell,804,16
molly wood,805,16
margot sanger-katz,806,16
nikita stewart,807,16
tim stelloh,808,16
michele mcnally,809,16
constance rosenblum,810,16
sarah aubel,811,16
ceylan yeginsu,812,16
jonathan gilbert,813,15
norimitsu onishi,814,15
kevin o'brien,815,15
elizabeth olson,816,15
shmuel rosner,817,15
tanya mohn,818,15
viv bernstein,819,15
jane levere,820,15
samuel freedman,821,15
rob walker,822,15
shern sharma,823,15
natalia osipova,824,15
kelley mcmillan,825,15
kimiko de freytas-tamura,826,15
niharika mandhana,827,15
ian urbina,828,15
jay schreiber,829,15
sofia perpetua,830,15
katie benner,831,15
john hodgman,832,15
micah cohen,833,15
duraid adnan,834,15
oliver strand,835,15
amy qin,836,15
rob harris,837,15
louise story,838,15
sarah kavanagh,839,15
albert hunt,840,14
john tierney,841,14
christopher brooks,842,14
wendy ruderman,843,14
steven mcelroy,844,14
cecil lammey,845,14
sylviane gold,846,14
fred bierman,847,14
jake appleman,848,14
megan specia,849,14
sopan deb,850,14
daniel politi,851,14
wesley morris,852,14
elisabeth rosenthal,853,14
dan barry,854,14
seth mydans,855,14
at war,856,14
nina bernstein,857,14
adam goldman,858,14
malavika vyawahare,859,14
sean farrell,860,14
john godfrey,861,14
clifford levy,862,14
bee-shyuan chang,863,14
verne kopytoff,864,14
josh barro,865,14
david allen,866,14
aurelien breeden,867,14
greg kessler,868,14
