Job Family,Employee Identifier,Salaries,Overtime,Total Compensation,Total Benefits,Percentage Benefits
Street Transit,8918,7174.04,753.95,13291.845000000001,5054.514999999999,0.38027188851510074
Street Transit,47097,2422.16,283.85,4363.73,1657.72,0.37988601494592933
Public Service Aide,35508,18884.5275,3426.6,36240.9975,13751.6375,0.37944975162452416
Street Transit,4754,22356.32,2086.75,40513.41,15363.35,0.37921641254093397
Street Transit,48528,14411.63,1097.76,25280.35,9557.67,0.37806715492467474
Street Transit,36405,15311.78,1106.14,27146.274999999998,10260.630000000001,0.3779756154389507
Street Transit,15103,17407.435,1698.755,31249.2,11787.73,0.3772170167556289
Public Service Aide,43965,11471.25,679.1600000000001,19592.36,7368.9349999999995,0.37611267861554193
Street Transit,10649,5928.98,642.69,10625.05,3990.06,0.3755332916080395
Street Transit,29156,10050.95,509.45,17166.225,6445.215,0.37545907734519385
Public Service Aide,40824,27765.3375,6203.195,56254.475,21090.1275,0.3749057741628555
Street Transit,8242,10901.575,1359.145,20306.625,7603.049999999999,0.3744122915550959
Street Transit,44845,12871.66,1731.22,23899.559999999998,8942.815,0.3741832485618983
Public Service Aide,11815,37225.01,1889.18,62481.55,23367.36,0.3739881613052173
Semi-Skilled & General Labor,32049,4161.5,236.78,7384.51,2760.21,0.3737837717059087
Public Service Aide,36531,17983.54,3529.4049999999997,35919.565,13422.73,0.37368854550437897
Street Transit,39327,15643.035,1020.36,27511.435,10270.63,0.37332222037854434
Street Transit,29060,13401.94,1888.97,25048.4,9343.67,0.3730246243273023
Street Transit,23597,20497.796666666665,1457.7533333333333,36640.00666666667,13657.75,0.3727551177665361
Street Transit,15028,2651.0266666666666,159.83333333333334,5028.163333333333,1873.5166666666667,0.3726045759584845
Street Transit,31978,3806.66,651.59,7144.165,2660.3050000000003,0.37237451822571294
Street Transit,53871,23515.74,2813.71,43945.31,16363.37,0.3723575962941211
Street Transit,7879,26872.796666666665,1466.1166666666668,46693.64000000001,17372.359999999997,0.37204981235131795
